	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_filamentum_b1_c_filamentum_b1@contig1_1	c_filamentum_b1	c_filamentum_b1@contig1	1	1	1362	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.20]; Bacterial dnaA protein helix-turn-helix [PF08299.13]; IstB-like ATP binding protein [PF01695.19]; DnaA N-terminal domain [PF11638.10]		0
c_filamentum_b1_c_filamentum_b1@contig1_2	c_filamentum_b1	c_filamentum_b1@contig1	2	1635	2735	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.18]; DNA polymerase III beta subunit, N-terminal domain [PF00712.21]; DNA polymerase III beta subunit, C-terminal domain [PF02768.17]		0
c_filamentum_b1_c_filamentum_b1@contig1_3	c_filamentum_b1	c_filamentum_b1@contig1	3	2754	2984	1	C	K14761	ribosome-associated protein								S4 domain [PF13275.8]; S4 domain [PF01479.27]		0
c_filamentum_b1_c_filamentum_b1@contig1_4	c_filamentum_b1	c_filamentum_b1@contig1	4	3050	4135	1	C	K03629	DNA replication and repair protein RecF								RecF/RecN/SMC N terminal domain [PF02463.21]; AAA domain [PF13476.8]		0
c_filamentum_b1_c_filamentum_b1@contig1_5	c_filamentum_b1	c_filamentum_b1@contig1	5	4149	4409	1	C	K24648	extracellular matrix regulatory protein B								Domain of unknown function (DUF370) [PF04025.14]		0
c_filamentum_b1_c_filamentum_b1@contig1_6	c_filamentum_b1	c_filamentum_b1@contig1	6	4462	6378	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.27]; DNA gyrase B subunit, carboxyl terminus [PF00986.23]; Toprim domain [PF01751.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.28]		0
c_filamentum_b1_c_filamentum_b1@contig1_7	c_filamentum_b1	c_filamentum_b1@contig1	7	6412	8958	1	C	K02469	DNA gyrase subunit A [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.22]; DNA gyrase C-terminal domain, beta-propeller [PF03989.15]		0
c_filamentum_b1_c_filamentum_b1@contig1_8	c_filamentum_b1	c_filamentum_b1@contig1	8	9714	10154	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_9	c_filamentum_b1	c_filamentum_b1@contig1	9	16004	16444	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_10	c_filamentum_b1	c_filamentum_b1@contig1	10	21161	21655	1	D										HD domain [PF01966.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_11	c_filamentum_b1	c_filamentum_b1@contig1	11	21671	22177	1	C	K07105	uncharacterized protein								3H domain [PF02829.16]		0
c_filamentum_b1_c_filamentum_b1@contig1_12	c_filamentum_b1	c_filamentum_b1@contig1	12	22195	23607	1	D										FAD dependent oxidoreductase [PF01266.26]; BFD-like [2Fe-2S] binding domain [PF04324.17]; Sarcosine oxidase A3 domain [PF17806.3]		0
c_filamentum_b1_c_filamentum_b1@contig1_13	c_filamentum_b1	c_filamentum_b1@contig1	13	23621	23854	1	D										Protein of unknown function (DUF1667) [PF07892.13]		0
c_filamentum_b1_c_filamentum_b1@contig1_14	c_filamentum_b1	c_filamentum_b1@contig1	14	24163	25440	1	C	K01875	seryl-tRNA synthetase [EC:6.1.1.11]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.27]; Seryl-tRNA synthetase N-terminal domain [PF02403.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_15	c_filamentum_b1	c_filamentum_b1@contig1	15	25797	26657	1	D										Domain of unknown function (DUF2520) [PF10728.11]; Rossmann-like domain [PF10727.11]		0
c_filamentum_b1_c_filamentum_b1@contig1_16	c_filamentum_b1	c_filamentum_b1@contig1	16	26642	27469	1	C	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]								Ketopantoate hydroxymethyltransferase [PF02548.17]		0
c_filamentum_b1_c_filamentum_b1@contig1_17	c_filamentum_b1	c_filamentum_b1@contig1	17	27484	28329	1	C	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]								Pantoate-beta-alanine ligase [PF02569.17]		0
c_filamentum_b1_c_filamentum_b1@contig1_18	c_filamentum_b1	c_filamentum_b1@contig1	18	28349	28735	1	C	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]								Aspartate decarboxylase [PF02261.18]		0
c_filamentum_b1_c_filamentum_b1@contig1_19	c_filamentum_b1	c_filamentum_b1@contig1	19	29727	30668	1	C	K00845	glucokinase [EC:2.7.1.2]								ROK family [PF00480.22]; BadF/BadG/BcrA/BcrD ATPase family [PF01869.22]		0
c_filamentum_b1_c_filamentum_b1@contig1_20	c_filamentum_b1	c_filamentum_b1@contig1	20	30952	34383	1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]								Exodeoxyribonuclease V, gamma subunit [PF04257.16]; PD-(D/E)XK nuclease superfamily [PF12705.9]; UvrD-like helicase C-terminal domain [PF13361.8]		0
c_filamentum_b1_c_filamentum_b1@contig1_21	c_filamentum_b1	c_filamentum_b1@contig1	21	34386	38141	1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]								UvrD/REP helicase N-terminal domain [PF00580.23]; UvrD-like helicase C-terminal domain [PF13361.8]; PD-(D/E)XK nuclease superfamily [PF12705.9]; AAA domain [PF13245.8]		0
c_filamentum_b1_c_filamentum_b1@contig1_22	c_filamentum_b1	c_filamentum_b1@contig1	22	38409	39998	1	D										ABC transporter [PF00005.29]; ABC transporter [PF12848.9]		0
c_filamentum_b1_c_filamentum_b1@contig1_23	c_filamentum_b1	c_filamentum_b1@contig1	23	40065	40625	-1	D										Bacterial regulatory proteins, tetR family [PF00440.25]		0
c_filamentum_b1_c_filamentum_b1@contig1_24	c_filamentum_b1	c_filamentum_b1@contig1	24	40824	41714	1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.17]		0
c_filamentum_b1_c_filamentum_b1@contig1_25	c_filamentum_b1	c_filamentum_b1@contig1	25	41781	42914	-1	D										Domain of unknown function (DUF1887) [PF09002.13]		0
c_filamentum_b1_c_filamentum_b1@contig1_26	c_filamentum_b1	c_filamentum_b1@contig1	26	43211	44419	1	D			MER0739706	C82A	MER0739706 - subfamily C82A non-peptidase homologues (Clostridium celatum) [C82.UNA]#C82A#{peptidase unit: 301-418}~source L1QK57~	False	0.831	205.0	1.827e-55	L,D-transpeptidase catalytic domain [PF03734.16]		0
c_filamentum_b1_c_filamentum_b1@contig1_27	c_filamentum_b1	c_filamentum_b1@contig1	27	44546	45886	1	C	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]								Poly A polymerase head domain [PF01743.22]; tRNA nucleotidyltransferase domain 2 putative [PF13735.8]; Probable RNA and SrmB- binding site of polymerase A [PF12627.9]; HD domain [PF01966.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_28	c_filamentum_b1	c_filamentum_b1@contig1	28	46042	46689	-1	C	K11068	hemolysin III								Haemolysin-III related [PF03006.22]		0
c_filamentum_b1_c_filamentum_b1@contig1_29	c_filamentum_b1	c_filamentum_b1@contig1	29	46910	47482	1	D										Domain of unknown function (DUF1836) [PF08876.13]		0
c_filamentum_b1_c_filamentum_b1@contig1_30	c_filamentum_b1	c_filamentum_b1@contig1	30	47486	49174	1	C	K06924	uncharacterized protein								Predicted ATPase of the ABC class [PF09818.11]		0
c_filamentum_b1_c_filamentum_b1@contig1_31	c_filamentum_b1	c_filamentum_b1@contig1	31	49450	50832	-1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_32	c_filamentum_b1	c_filamentum_b1@contig1	32	51121	51933	1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.30]		0
c_filamentum_b1_c_filamentum_b1@contig1_33	c_filamentum_b1	c_filamentum_b1@contig1	33	51951	53195	1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_34	c_filamentum_b1	c_filamentum_b1@contig1	34	53474	53776	1	C	K07450	putative resolvase								MerR HTH family regulatory protein [PF13411.8]		0
c_filamentum_b1_c_filamentum_b1@contig1_35	c_filamentum_b1	c_filamentum_b1@contig1	35	53846	53983	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_36	c_filamentum_b1	c_filamentum_b1@contig1	36	54075	55262	1	C	K07496	putative transposase								Probable transposase [PF01385.21]; Putative transposase DNA-binding domain [PF07282.13]; Helix-turn-helix domain [PF12323.10]		0
c_filamentum_b1_c_filamentum_b1@contig1_37	c_filamentum_b1	c_filamentum_b1@contig1	37	55431	55877	1	C	K02348	ElaA protein								Acetyltransferase (GNAT) domain [PF13673.9]; Acetyltransferase (GNAT) domain [PF13508.9]		0
c_filamentum_b1_c_filamentum_b1@contig1_38	c_filamentum_b1	c_filamentum_b1@contig1	38	55948	56544	1	C	K03748	SanA protein								DUF218 domain [PF02698.19]		0
c_filamentum_b1_c_filamentum_b1@contig1_39	c_filamentum_b1	c_filamentum_b1@contig1	39	56712	57488	1	C	K07124	uncharacterized protein								short chain dehydrogenase [PF00106.27]; Enoyl-(Acyl carrier protein) reductase [PF13561.8]; KR domain [PF08659.12]; NAD dependent epimerase/dehydratase family [PF01370.23]; NAD(P)H-binding [PF13460.8]		0
c_filamentum_b1_c_filamentum_b1@contig1_40	c_filamentum_b1	c_filamentum_b1@contig1	40	58056	59105	1	C	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	MER0439498	C26	MER0439498 - family C26 unassigned peptidases (Clostridium sp. 7_2_43FAA) [C26.UPW]#C26#{peptidase unit: 5-345}~source ZP_05132476~	True	0.866	614.0	9.564e-198	Carbamoyl-phosphate synthase small chain, CPSase domain [PF00988.24]; Glutamine amidotransferase class-I [PF00117.30]; Peptidase C26 [PF07722.15]		0
c_filamentum_b1_c_filamentum_b1@contig1_41	c_filamentum_b1	c_filamentum_b1@contig1	41	59120	62326	1	C	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]								Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.19]; Carbamoyl-phosphate synthetase large chain, oligomerisation domain [PF02787.21]; MGS-like domain [PF02142.24]; ATP-grasp domain [PF02655.16]; D-ala D-ala ligase C-terminus [PF07478.15]; ATP-grasp domain [PF13535.8]; ATP-grasp in the biosynthetic pathway with Ter operon [PF15632.8]; ATP-grasp domain [PF02222.24]; RimK-like ATP-grasp domain [PF08443.13]		0
c_filamentum_b1_c_filamentum_b1@contig1_42	c_filamentum_b1	c_filamentum_b1@contig1	42	62384	63052	-1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_43	c_filamentum_b1	c_filamentum_b1@contig1	43	63835	64596	1	C	K01776	glutamate racemase [EC:5.1.1.3]								Asp/Glu/Hydantoin racemase [PF01177.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_44	c_filamentum_b1	c_filamentum_b1@contig1	44	64807	65331	1	C	K03768	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]								Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.23]		0
c_filamentum_b1_c_filamentum_b1@contig1_45	c_filamentum_b1	c_filamentum_b1@contig1	45	65493	65867	1	D										Domain of unknown function (DUF3783) [PF12646.9]		0
c_filamentum_b1_c_filamentum_b1@contig1_46	c_filamentum_b1	c_filamentum_b1@contig1	46	65860	66534	1	D										Helix-turn-helix domain [PF12844.9]; Helix-turn-helix [PF01381.24]		0
c_filamentum_b1_c_filamentum_b1@contig1_47	c_filamentum_b1	c_filamentum_b1@contig1	47	66774	70337	1	D			MER0977101	S08A	MER0977101 - subfamily S8A unassigned peptidases (Clostridium sp. CAG:265) [S08.UPA]#S08A#{peptidase unit: 657-1155}~source R6LI85~	True	0.813	834.0	5.405e-259	Subtilase family [PF00082.24]; Csp protease B prodomain [PF18425.3]		0
c_filamentum_b1_c_filamentum_b1@contig1_48	c_filamentum_b1	c_filamentum_b1@contig1	48	70402	71733	1	D										Putative peptidoglycan binding domain [PF01471.20]		0
c_filamentum_b1_c_filamentum_b1@contig1_49	c_filamentum_b1	c_filamentum_b1@contig1	49	71805	72866	-1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_50	c_filamentum_b1	c_filamentum_b1@contig1	50	73000	74082	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_51	c_filamentum_b1	c_filamentum_b1@contig1	51	74200	75123	1	C	K07139	uncharacterized protein								Radical_SAM C-terminal domain [PF16199.7]; Radical SAM superfamily [PF04055.23]		0
c_filamentum_b1_c_filamentum_b1@contig1_52	c_filamentum_b1	c_filamentum_b1@contig1	52	75227	75772	1	C	K03088	RNA polymerase sigma-70 factor, ECF subfamily								Sigma-70, region 4 [PF08281.14]; Sigma-70 region 2 [PF04542.16]; Sigma-70, region 4 [PF04545.18]; ECF sigma factor [PF07638.13]		0
c_filamentum_b1_c_filamentum_b1@contig1_53	c_filamentum_b1	c_filamentum_b1@contig1	53	75765	76481	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_54	c_filamentum_b1	c_filamentum_b1@contig1	54	76541	77716	-1	C	K06969	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]								S-adenosylmethionine-dependent methyltransferase [PF10672.11]; PUA-like domain [PF17785.3]; Met-10+ like-protein [PF02475.18]; tRNA (Uracil-5-)-methyltransferase [PF05958.13]; Conserved hypothetical protein 95 [PF03602.17]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.15]; Methyltransferase small domain [PF05175.16]; RNA cap guanine-N2 methyltransferase [PF09445.12]; N-6 DNA Methylase [PF02384.18]; N2,N2-dimethylguanosine tRNA methyltransferase [PF02005.18]		0
c_filamentum_b1_c_filamentum_b1@contig1_55	c_filamentum_b1	c_filamentum_b1@contig1	55	78492	78911	1	D										ABC transporter [PF00005.29]		0
c_filamentum_b1_c_filamentum_b1@contig1_56	c_filamentum_b1	c_filamentum_b1@contig1	56	78913	79056	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_57	c_filamentum_b1	c_filamentum_b1@contig1	57	79110	79361	1	C	K07461	putative endonuclease								GIY-YIG catalytic domain [PF01541.26]		0
c_filamentum_b1_c_filamentum_b1@contig1_58	c_filamentum_b1	c_filamentum_b1@contig1	58	79463	79579	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_59	c_filamentum_b1	c_filamentum_b1@contig1	59	79898	80017	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_60	c_filamentum_b1	c_filamentum_b1@contig1	60	80067	80171	1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_61	c_filamentum_b1	c_filamentum_b1@contig1	61	80473	81261	-1	E												0
c_filamentum_b1_c_filamentum_b1@contig1_62	c_filamentum_b1	c_filamentum_b1@contig1	62	81451	83010	-1	C	K01224	arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]								Glycosyl hydrolase family 53 [PF07745.15]; Ricin-type beta-trefoil lectin domain-like [PF14200.8]	CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis. [CBM13]; GH53 endo-beta-1,4-galactanase (EC 3.2.1.89). [GH53]; GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146); beta-galactosylceramidase (EC 3.2.1.46); ; beta-rutinosidase /alpha-L-rhamnose-(1,6)-beta-D-glucosidase (EC 3.2.1.-); alpha-L-arabinofuranosidase (EC 3.2.1.55) [GH5]	0
c_filamentum_b1_c_filamentum_b1@contig1_63	c_filamentum_b1	c_filamentum_b1@contig1	63	83472	84239	1	C	K02530	DeoR family transcriptional regulator, lactose phosphotransferase system repressor								DeoR C terminal sensor domain [PF00455.24]; DeoR-like helix-turn-helix domain [PF08220.14]		0
c_filamentum_b1_c_filamentum_b1@contig1_64	c_filamentum_b1	c_filamentum_b1@contig1	64	84242	84667	1	C	K01819	galactose-6-phosphate isomerase [EC:5.3.1.26]								Ribose/Galactose Isomerase [PF02502.20]		0
c_filamentum_b1_c_filamentum_b1@contig1_65	c_filamentum_b1	c_filamentum_b1@contig1	65	84679	85197	1	D										Ribose/Galactose Isomerase [PF02502.20]		0
c_filamentum_b1_c_filamentum_b1@contig1_66	c_filamentum_b1	c_filamentum_b1@contig1	66	85237	85551	1	C	K02786	lactose PTS system EIIA component [EC:2.7.1.207]								PTS system, Lactose/Cellobiose specific IIA subunit [PF02255.18]		0
c_filamentum_b1_c_filamentum_b1@contig1_67	c_filamentum_b1	c_filamentum_b1@contig1	67	85600	87276	1	C	K02788	lactose PTS system EIICB component [EC:2.7.1.207]								Phosphotransferase system, EIIC [PF02378.20]		0
