	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	heme_regulatory_motif_count
c_filamentum_b2_c_filamentum_b2@contig1_1	c_filamentum_b2	c_filamentum_b2@contig1	1	1	1362	1	C	K02313	chromosomal replication initiator protein								Bacterial dnaA  protein [PF00308.20]; Bacterial dnaA protein helix-turn-helix [PF08299.13]; IstB-like ATP binding protein [PF01695.19]; DnaA N-terminal domain [PF11638.10]		0
c_filamentum_b2_c_filamentum_b2@contig1_2	c_filamentum_b2	c_filamentum_b2@contig1	2	1635	2735	1	C	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]								DNA polymerase III beta subunit, central domain [PF02767.18]; DNA polymerase III beta subunit, N-terminal domain [PF00712.21]; DNA polymerase III beta subunit, C-terminal domain [PF02768.17]		0
c_filamentum_b2_c_filamentum_b2@contig1_3	c_filamentum_b2	c_filamentum_b2@contig1	3	2754	2984	1	C	K14761	ribosome-associated protein								S4 domain [PF13275.8]; S4 domain [PF01479.27]		0
c_filamentum_b2_c_filamentum_b2@contig1_4	c_filamentum_b2	c_filamentum_b2@contig1	4	3050	4135	1	C	K03629	DNA replication and repair protein RecF								RecF/RecN/SMC N terminal domain [PF02463.21]; AAA domain [PF13476.8]		0
c_filamentum_b2_c_filamentum_b2@contig1_5	c_filamentum_b2	c_filamentum_b2@contig1	5	4149	4409	1	C	K24648	extracellular matrix regulatory protein B								Domain of unknown function (DUF370) [PF04025.14]		0
c_filamentum_b2_c_filamentum_b2@contig1_6	c_filamentum_b2	c_filamentum_b2@contig1	6	4462	6378	1	C	K02470	DNA gyrase subunit B [EC:5.6.2.2]								DNA gyrase B [PF00204.27]; DNA gyrase B subunit, carboxyl terminus [PF00986.23]; Toprim domain [PF01751.24]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.28]		0
c_filamentum_b2_c_filamentum_b2@contig1_7	c_filamentum_b2	c_filamentum_b2@contig1	7	6412	8958	1	C	K02469	DNA gyrase subunit A [EC:5.6.2.2]								DNA gyrase/topoisomerase IV, subunit A [PF00521.22]; DNA gyrase C-terminal domain, beta-propeller [PF03989.15]		0
c_filamentum_b2_c_filamentum_b2@contig1_8	c_filamentum_b2	c_filamentum_b2@contig1	8	9714	10154	1	E												0
c_filamentum_b2_c_filamentum_b2@contig1_9	c_filamentum_b2	c_filamentum_b2@contig1	9	15881	16321	1	E												0
c_filamentum_b2_c_filamentum_b2@contig1_10	c_filamentum_b2	c_filamentum_b2@contig1	10	21038	21532	1	D										HD domain [PF01966.24]		0
c_filamentum_b2_c_filamentum_b2@contig1_11	c_filamentum_b2	c_filamentum_b2@contig1	11	21548	22054	1	C	K07105	uncharacterized protein								3H domain [PF02829.16]		0
c_filamentum_b2_c_filamentum_b2@contig1_12	c_filamentum_b2	c_filamentum_b2@contig1	12	22072	23484	1	D										FAD dependent oxidoreductase [PF01266.26]; BFD-like [2Fe-2S] binding domain [PF04324.17]; Sarcosine oxidase A3 domain [PF17806.3]		0
c_filamentum_b2_c_filamentum_b2@contig1_13	c_filamentum_b2	c_filamentum_b2@contig1	13	23498	23731	1	D										Protein of unknown function (DUF1667) [PF07892.13]		0
c_filamentum_b2_c_filamentum_b2@contig1_14	c_filamentum_b2	c_filamentum_b2@contig1	14	24040	25317	1	C	K01875	seryl-tRNA synthetase [EC:6.1.1.11]								tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.27]; Seryl-tRNA synthetase N-terminal domain [PF02403.24]		0
c_filamentum_b2_c_filamentum_b2@contig1_15	c_filamentum_b2	c_filamentum_b2@contig1	15	25674	26534	1	D										Domain of unknown function (DUF2520) [PF10728.11]; Rossmann-like domain [PF10727.11]		0
c_filamentum_b2_c_filamentum_b2@contig1_16	c_filamentum_b2	c_filamentum_b2@contig1	16	26519	27346	1	C	K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]								Ketopantoate hydroxymethyltransferase [PF02548.17]		0
c_filamentum_b2_c_filamentum_b2@contig1_17	c_filamentum_b2	c_filamentum_b2@contig1	17	27361	28206	1	C	K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]								Pantoate-beta-alanine ligase [PF02569.17]		0
c_filamentum_b2_c_filamentum_b2@contig1_18	c_filamentum_b2	c_filamentum_b2@contig1	18	28226	28612	1	C	K01579	aspartate 1-decarboxylase [EC:4.1.1.11]								Aspartate decarboxylase [PF02261.18]		0
c_filamentum_b2_c_filamentum_b2@contig1_19	c_filamentum_b2	c_filamentum_b2@contig1	19	29604	30545	1	C	K00845	glucokinase [EC:2.7.1.2]								ROK family [PF00480.22]; BadF/BadG/BcrA/BcrD ATPase family [PF01869.22]		0
c_filamentum_b2_c_filamentum_b2@contig1_20	c_filamentum_b2	c_filamentum_b2@contig1	20	30829	34260	1	C	K16899	ATP-dependent helicase/nuclease subunit B [EC:3.1.-.- 3.6.4.12]								Exodeoxyribonuclease V, gamma subunit [PF04257.16]; PD-(D/E)XK nuclease superfamily [PF12705.9]; UvrD-like helicase C-terminal domain [PF13361.8]		0
c_filamentum_b2_c_filamentum_b2@contig1_21	c_filamentum_b2	c_filamentum_b2@contig1	21	34263	38018	1	C	K16898	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]								UvrD/REP helicase N-terminal domain [PF00580.23]; UvrD-like helicase C-terminal domain [PF13361.8]; PD-(D/E)XK nuclease superfamily [PF12705.9]; AAA domain [PF13245.8]		0
c_filamentum_b2_c_filamentum_b2@contig1_22	c_filamentum_b2	c_filamentum_b2@contig1	22	38286	39875	1	D										ABC transporter [PF00005.29]; ABC transporter [PF12848.9]		0
c_filamentum_b2_c_filamentum_b2@contig1_23	c_filamentum_b2	c_filamentum_b2@contig1	23	39942	40502	-1	D										Bacterial regulatory proteins, tetR family [PF00440.25]		0
c_filamentum_b2_c_filamentum_b2@contig1_24	c_filamentum_b2	c_filamentum_b2@contig1	24	40701	41591	1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.17]		0
c_filamentum_b2_c_filamentum_b2@contig1_25	c_filamentum_b2	c_filamentum_b2@contig1	25	41658	42791	-1	D										Domain of unknown function (DUF1887) [PF09002.13]		0
c_filamentum_b2_c_filamentum_b2@contig1_26	c_filamentum_b2	c_filamentum_b2@contig1	26	43088	44296	1	D			MER0739706	C82A	MER0739706 - subfamily C82A non-peptidase homologues (Clostridium celatum) [C82.UNA]#C82A#{peptidase unit: 301-418}~source L1QK57~	False	0.831	205.0	1.827e-55	L,D-transpeptidase catalytic domain [PF03734.16]		0
c_filamentum_b2_c_filamentum_b2@contig1_27	c_filamentum_b2	c_filamentum_b2@contig1	27	44423	45763	1	C	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]								Poly A polymerase head domain [PF01743.22]; tRNA nucleotidyltransferase domain 2 putative [PF13735.8]; Probable RNA and SrmB- binding site of polymerase A [PF12627.9]; HD domain [PF01966.24]		0
c_filamentum_b2_c_filamentum_b2@contig1_28	c_filamentum_b2	c_filamentum_b2@contig1	28	45919	46566	-1	C	K11068	hemolysin III								Haemolysin-III related [PF03006.22]		0
c_filamentum_b2_c_filamentum_b2@contig1_29	c_filamentum_b2	c_filamentum_b2@contig1	29	46787	47359	1	D										Domain of unknown function (DUF1836) [PF08876.13]		0
c_filamentum_b2_c_filamentum_b2@contig1_30	c_filamentum_b2	c_filamentum_b2@contig1	30	47363	49051	1	C	K06924	uncharacterized protein								Predicted ATPase of the ABC class [PF09818.11]		0
c_filamentum_b2_c_filamentum_b2@contig1_31	c_filamentum_b2	c_filamentum_b2@contig1	31	49327	50709	-1	E												0
c_filamentum_b2_c_filamentum_b2@contig1_32	c_filamentum_b2	c_filamentum_b2@contig1	32	50998	51810	1	C	K00931	glutamate 5-kinase [EC:2.7.2.11]								Amino acid kinase family [PF00696.30]		0
c_filamentum_b2_c_filamentum_b2@contig1_33	c_filamentum_b2	c_filamentum_b2@contig1	33	51828	53072	1	C	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]								Aldehyde dehydrogenase family [PF00171.24]		0
c_filamentum_b2_c_filamentum_b2@contig1_34	c_filamentum_b2	c_filamentum_b2@contig1	34	53351	53653	1	C	K07450	putative resolvase								MerR HTH family regulatory protein [PF13411.8]		0
c_filamentum_b2_c_filamentum_b2@contig1_35	c_filamentum_b2	c_filamentum_b2@contig1	35	53723	53860	1	E												0
c_filamentum_b2_c_filamentum_b2@contig1_36	c_filamentum_b2	c_filamentum_b2@contig1	36	53952	55139	1	C	K07496	putative transposase								Probable transposase [PF01385.21]; Putative transposase DNA-binding domain [PF07282.13]; Helix-turn-helix domain [PF12323.10]		0
c_filamentum_b2_c_filamentum_b2@contig1_37	c_filamentum_b2	c_filamentum_b2@contig1	37	55308	55754	1	C	K02348	ElaA protein								Acetyltransferase (GNAT) domain [PF13673.9]; Acetyltransferase (GNAT) domain [PF13508.9]		0
c_filamentum_b2_c_filamentum_b2@contig1_38	c_filamentum_b2	c_filamentum_b2@contig1	38	55825	56421	1	C	K03748	SanA protein								DUF218 domain [PF02698.19]		0
